network,platform,latitude,longitude,date,sea_water_turbidity,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-07-01T00:00:00Z,99.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-07-01T00:00:00Z,99.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2016-07-01T00:00:00Z,59.44,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2016-07-01T00:00:00Z,4.1,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-07-01T00:00:00Z,2.68,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2016-07-01T00:00:00Z,5.69,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-07-01T00:00:00Z,41.5,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-07-01T00:00:00Z,5.86,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2016-07-01T00:00:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-07-01T00:15:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-07-01T00:15:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-07-01T00:15:00Z,-9999.0,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-07-01T00:30:00Z,99.0,11111222 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-07-01T00:30:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-07-01T00:30:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-07-01T00:30:00Z,-9999.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2016-07-01T00:45:00Z,8.0,1111122 
NERRS,ioos:station:NOAA.NERRS:gndbhwq,30.4178,-88.4054,2016-07-01T00:45:00Z,11.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2016-07-01T00:45:00Z,1102.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2016-07-01T00:45:00Z,41.0,1111122 
